,Company,TypeName,CPU_Frequency (GHz),RAM (GB),GPU_Company,Weight (kg),Price (Euro),Touchscreen,Ips,ppi,CPU,CPU_Tier,HDD,SSD,GPU_Tier,OS
481,Dell,Notebook,2.4,4,Intel,2.18,586.6,0,0,100.45466986113651,Core i3,2,1000,0,2,Windows
482,HP,Notebook,1.6,4,Intel,1.49,726.0,0,1,165.6321180513006,Core i5,3,0,128,2,Windows
483,Chuwi,Notebook,1.44,4,Intel,1.89,248.9,0,0,141.21199808219862,Atom,1,0,0,2,Windows
484,Lenovo,Notebook,2.0,4,Intel,2.3,565.0,0,0,100.45466986113651,Core i3,2,0,128,2,Windows
485,Lenovo,Notebook,1.6,8,Intel,1.75,1049.0,0,1,157.3505121487356,Core i5,3,0,256,2,Windows
486,Dell,Workstation,2.7,16,Nvidia,2.17,2338.0,0,1,141.21199808219862,Core i7,4,0,512,2,Windows
487,Dell,Notebook,2.8,16,Nvidia,2.06,1899.0,0,0,141.21199808219862,Core i7,4,0,512,3,Windows
488,Lenovo,Ultrabook,2.7,16,Intel,1.36,1798.0,0,1,176.23257360658386,Core i7,4,0,512,2,Windows
489,Asus,Ultrabook,2.7,16,Intel,0.91,1950.0,0,0,176.23257360658386,Core i7,4,0,512,2,Windows
490,Lenovo,Notebook,2.5,8,Nvidia,2.3,1011.99,0,1,141.21199808219862,Core i5,3,0,256,2,Windows
491,Toshiba,Ultrabook,2.7,32,Intel,1.05,2799.0,1,0,165.6321180513006,Core i7,4,0,512,2,Windows
492,Asus,Gaming,2.8,8,Nvidia,1.99,1350.0,0,0,141.21199808219862,Core i7,4,1000,128,3,Windows
493,Acer,Notebook,2.5,8,AMD,2.2,579.0,0,0,100.45466986113651,A10-Series,1,1000,0,2,Windows
494,Asus,Gaming,2.6,24,Nvidia,4.33,1269.0,1,1,127.33567457123111,Core i7,4,1000,256,2,Windows
495,Lenovo,Ultrabook,2.3,8,Intel,1.3,1099.0,0,1,125.36742798669837,Core i5,3,0,180,2,Windows
496,Lenovo,Notebook,1.8,8,Intel,2.17,898.9,0,0,141.21199808219862,Core i7,4,0,256,2,Windows
497,HP,Notebook,2.8,8,Intel,1.48,1749.0,0,0,157.3505121487356,Core i7,4,0,1000,2,Windows
498,Lenovo,Notebook,2.4,8,Intel,1.4,949.0,0,1,165.6321180513006,Core i3,2,0,256,2,Windows
499,Lenovo,Notebook,2.5,8,Intel,2.3,911.0,0,1,141.21199808219862,Core i5,3,0,256,2,Windows
500,Asus,Netbook,1.1,4,Intel,1.2,340.0,0,0,135.0942111925629,Celeron,1,0,0,2,Windows
501,HP,Notebook,2.5,8,AMD,1.91,618.99,0,0,100.45466986113651,Core i5,3,0,256,2,Windows
502,Lenovo,2 in 1 Convertible,1.6,8,Intel,1.4,1599.0,1,1,158.48253022174808,Core i5,3,0,256,2,Windows
503,Lenovo,Notebook,1.1,4,Intel,2.1,299.0,0,0,111.93520355955211,Celeron,1,500,0,2,Windows
504,Lenovo,Netbook,1.6,4,Intel,1.25,265.0,0,0,135.0942111925629,Celeron,1,0,16,2,Other
505,Lenovo,Notebook,2.5,8,Intel,1.44,949.0,0,0,165.6321180513006,Core i5,3,0,256,2,Windows
506,Asus,Notebook,2.7,8,Intel,2.0,1224.0,0,0,141.21199808219862,Core i7,4,1000,256,2,Windows
507,Acer,Notebook,1.6,4,Nvidia,2.2,613.0,0,1,141.21199808219862,Core i5,3,1000,0,2,Windows
508,HP,Ultrabook,2.7,8,Intel,1.34,1323.0,0,1,165.6321180513006,Core i7,4,0,512,2,Windows
509,Lenovo,Gaming,2.8,8,Nvidia,2.4,1149.0,0,1,141.21199808219862,Core i7,4,1000,256,4,Other
510,Dell,Ultrabook,2.5,8,Intel,1.29,899.0,1,1,165.6321180513006,Core i5,3,0,128,2,Windows
511,Acer,Notebook,2.7,4,Nvidia,2.2,639.0,0,0,141.21199808219862,Core i7,4,500,0,2,Windows
512,Dell,Notebook,2.5,8,Intel,2.18,836.0,0,0,141.21199808219862,Core i5,3,1000,0,2,Windows
513,Dell,Notebook,1.8,16,AMD,2.2,1219.24,0,0,141.21199808219862,Core i7,4,2000,256,2,Windows
514,Xiaomi,Notebook,1.8,16,Nvidia,1.95,1399.95,0,1,141.21199808219862,Core i7,4,0,256,2,Other
515,Asus,Netbook,1.1,2,Intel,1.1,245.0,0,0,135.0942111925629,Celeron,1,0,0,2,Windows
516,HP,Notebook,1.6,4,Intel,2.04,521.47,1,0,100.45466986113651,Core i5,3,1000,0,2,Windows
517,Asus,Gaming,2.8,24,Nvidia,2.24,2968.0,0,0,141.21199808219862,Core i7,4,0,512,4,Windows
518,HP,Notebook,2.5,8,Nvidia,2.04,889.0,0,0,141.21199808219862,Core i5,3,0,256,2,Windows
519,Asus,Gaming,2.8,16,Nvidia,3.0,1504.0,0,0,127.33567457123111,Core i7,4,1000,256,3,Windows
520,Lenovo,Gaming,2.8,8,Nvidia,3.2,1399.0,0,1,141.21199808219862,Core i7,4,1000,256,4,Windows
521,HP,Ultrabook,2.7,8,Intel,1.32,1399.0,0,1,165.6321180513006,Core i7,4,0,256,2,Windows
522,Dell,Notebook,2.6,8,Intel,1.64,1279.73,0,0,157.3505121487356,Core i5,3,0,256,2,Windows
523,HP,Notebook,2.0,4,Intel,1.63,689.0,0,0,100.45466986113651,Core i3,2,0,128,2,Windows
524,Dell,Notebook,1.6,8,AMD,2.8,889.0,0,1,127.33567457123111,Core i5,3,1000,128,2,Other
525,Lenovo,Notebook,2.3,8,Intel,2.02,1340.0,0,0,157.3505121487356,Core i5,3,0,256,2,Windows
526,Lenovo,Notebook,2.7,4,Nvidia,2.2,799.0,0,0,141.21199808219862,Core i7,4,1000,0,2,Windows
527,Lenovo,Notebook,2.0,8,Nvidia,2.2,459.0,0,0,100.45466986113651,Core i3,2,2000,0,2,Other
528,Dell,Notebook,2.5,4,AMD,2.3,585.0,0,0,141.21199808219862,Core i5,3,500,0,2,Windows
529,Dell,Notebook,2.8,8,Intel,1.9,1377.0,0,0,141.21199808219862,Core i5,3,0,256,2,Windows
530,Dell,Gaming,2.8,16,Nvidia,4.42,3012.77,0,1,127.33567457123111,Core i7,4,1000,128,4,Windows
531,Toshiba,Notebook,2.5,8,Intel,2.0,860.0,0,1,141.21199808219862,Core i5,3,500,0,2,Windows
532,Asus,Notebook,2.7,8,Nvidia,2.0,1299.0,0,1,282.42399616439724,Core i7,4,1000,256,3,Windows
533,Mediacom,Notebook,1.1,4,Intel,1.2,369.0,0,1,165.6321180513006,Celeron,1,0,32,2,Windows
534,Asus,Gaming,2.5,8,Nvidia,2.3,1649.0,0,1,141.21199808219862,Core i5,3,1000,128,4,Windows
535,Dell,Notebook,2.8,8,Nvidia,1.93,1369.0,0,0,141.21199808219862,Core i7,4,0,256,2,Windows
536,Dell,Notebook,1.6,8,AMD,2.2,797.41,0,0,141.21199808219862,Core i5,3,0,256,2,Windows
537,HP,Notebook,1.6,4,Intel,1.86,398.99,0,0,141.21199808219862,Pentium,1,0,256,2,Windows
538,HP,Gaming,2.8,12,Nvidia,2.62,1799.0,0,0,127.33567457123111,Core i7,4,1000,0,4,Windows
539,Lenovo,Notebook,2.7,8,Nvidia,1.87,859.0,0,1,157.3505121487356,Core i7,4,0,256,2,Windows
540,Dell,Ultrabook,1.8,8,Intel,1.2,1399.0,1,0,276.053530085501,Core i7,4,0,256,2,Windows
541,Dell,Notebook,2.0,4,Intel,1.6,735.87,0,0,157.3505121487356,Core i3,2,0,128,2,Windows
542,HP,Ultrabook,2.7,8,Intel,1.34,1145.0,0,1,276.053530085501,Core i7,4,0,256,2,Windows
543,Acer,Gaming,2.5,8,Nvidia,2.4,798.0,0,0,141.21199808219862,Core i5,3,1000,0,3,Other
544,Asus,Notebook,1.8,4,AMD,2.0,349.0,0,0,100.45466986113651,E-Series,1,500,0,2,Windows
545,HP,Notebook,2.4,4,Intel,2.1,705.5,0,0,141.21199808219862,Core i3,2,0,128,2,Windows
546,Lenovo,Notebook,2.5,4,Intel,1.87,785.0,0,0,157.3505121487356,Core i5,3,500,0,2,Windows
547,Lenovo,Notebook,2.3,4,Intel,2.15,462.35,0,0,141.21199808219862,Core i5,3,1000,0,2,Other
548,HP,Notebook,2.0,4,Intel,1.86,397.0,0,0,141.21199808219862,Core i3,2,500,0,2,Windows
549,Lenovo,Notebook,2.7,8,Intel,1.99,1729.0,0,1,141.21199808219862,Core i7,4,0,512,2,Windows
550,Lenovo,Notebook,2.0,4,Intel,2.2,499.0,0,0,141.21199808219862,Core i3,2,0,128,2,Windows
551,Dell,Notebook,2.5,8,Intel,1.9,1116.99,0,0,141.21199808219862,Core i5,3,0,256,2,Windows
552,Dell,Gaming,2.8,16,Nvidia,4.42,2699.0,0,1,127.33567457123111,Core i7,4,1000,256,4,Windows
553,HP,Notebook,2.0,8,Intel,2.65,544.15,0,0,106.11306214269258,Core i3,2,1000,0,2,Windows
554,HP,Notebook,2.7,8,Nvidia,2.63,1280.0,0,0,127.33567457123111,Core i7,4,1000,0,2,Windows
555,Asus,Notebook,1.1,4,Intel,2.0,224.0,0,0,100.45466986113651,Celeron,1,500,0,2,Other
556,Mediacom,Notebook,1.44,4,Intel,1.35,255.0,0,1,165.6321180513006,Atom,1,0,0,2,Windows
557,Lenovo,Notebook,2.7,6,Nvidia,2.8,949.0,0,0,106.11306214269258,Core i7,4,1000,128,2,Windows
558,HP,Notebook,2.5,6,AMD,1.91,568.9,0,1,141.21199808219862,A10-Series,1,0,128,2,Windows
559,Dell,Notebook,2.0,4,AMD,2.18,617.9,0,0,100.45466986113651,Core i3,2,1000,0,2,Windows
560,Acer,2 in 1 Convertible,2.0,4,Intel,1.25,349.0,1,1,189.90579052433606,Celeron,1,0,0,2,Windows
561,Lenovo,Notebook,2.7,4,Intel,2.05,630.0,0,0,141.21199808219862,Core i3,2,0,128,2,Windows
562,HP,Ultrabook,1.2,16,Intel,1.16,1965.0,1,1,276.053530085501,Core M,2,0,512,2,Windows
563,Lenovo,Notebook,2.8,8,Nvidia,3.4,2999.0,0,1,127.33567457123111,Core i7,4,0,256,2,Windows
564,Asus,Notebook,2.5,8,Nvidia,2.5,839.0,0,0,141.21199808219862,Core i5,3,1000,128,3,Windows
565,Dell,Ultrabook,1.6,8,Intel,1.21,1599.0,1,1,331.2642361026012,Core i5,3,0,128,2,Windows
566,Dell,Notebook,2.6,4,Intel,1.93,959.0,0,0,100.45466986113651,Core i5,3,500,0,2,Windows
567,Fujitsu,Notebook,2.5,8,Intel,2.2,739.0,0,0,100.45466986113651,Core i5,3,1000,0,2,Windows
568,Lenovo,Notebook,1.1,4,Intel,2.2,344.0,0,0,141.21199808219862,Pentium,1,500,0,2,Windows
569,Lenovo,Notebook,2.5,4,Intel,2.02,990.0,0,0,111.93520355955211,Core i5,3,500,0,2,Windows
570,HP,Workstation,2.8,8,Nvidia,3.14,1860.99,0,0,106.11306214269258,Core i5,3,500,0,2,Windows
571,HP,Notebook,1.6,8,Intel,1.94,389.0,0,0,111.93520355955211,Pentium,1,2000,0,2,Windows
572,HP,Notebook,3.0,6,AMD,1.95,649.0,0,1,141.21199808219862,A9-Series,1,0,256,2,Windows
573,Lenovo,Notebook,2.5,8,Intel,2.3,830.0,0,0,141.21199808219862,Core i5,3,0,256,2,Windows
574,Lenovo,Notebook,1.6,4,Intel,2.05,685.0,0,0,141.21199808219862,Core i5,3,500,0,2,Windows
575,Mediacom,Notebook,1.44,4,Intel,1.4,249.0,0,0,157.3505121487356,Atom,1,0,32,2,Windows
576,Toshiba,Ultrabook,2.7,16,Intel,1.24,1865.0,1,0,157.3505121487356,Core i7,4,0,512,2,Windows
577,Lenovo,Gaming,2.7,32,Nvidia,4.6,2663.0,0,1,127.33567457123111,Core i7,4,1000,256,4,Windows
578,MSI,Gaming,2.9,16,Nvidia,4.14,2729.0,0,0,127.33567457123111,Core i7,4,1000,512,4,Windows
579,Dell,Notebook,2.7,8,AMD,2.2,749.01,0,0,141.21199808219862,Core i7,4,0,256,2,Other
580,Mediacom,Notebook,1.1,4,Intel,1.45,389.0,0,1,157.3505121487356,Celeron,1,0,32,2,Windows
581,Dell,Notebook,2.6,8,Intel,1.9,1008.52,0,0,100.45466986113651,Core i5,3,500,0,2,Windows
582,HP,Notebook,2.4,4,Intel,1.49,719.0,0,0,165.6321180513006,Core i3,2,0,128,2,Windows
583,Dell,Notebook,2.8,16,Nvidia,1.93,1537.39,0,0,141.21199808219862,Core i7,4,0,256,2,Windows
584,Dell,Netbook,1.6,4,Intel,1.26,295.0,0,0,135.0942111925629,Celeron,1,0,0,2,Other
585,MSI,Gaming,2.7,16,Nvidia,4.5,2349.0,0,0,127.33567457123111,Core i7,4,1000,128,2,Windows
586,HP,Gaming,2.8,16,Nvidia,3.78,1498.0,0,1,127.33567457123111,Core i7,4,1000,256,3,Windows
587,Lenovo,Ultrabook,2.6,12,Intel,1.4,1673.0,0,1,157.3505121487356,Core i7,4,0,256,2,Windows
588,Lenovo,Notebook,1.8,12,Intel,2.2,609.0,1,0,100.45466986113651,Core i7,4,1000,0,2,Windows
589,Asus,Gaming,2.5,8,Nvidia,2.73,1770.0,0,1,127.33567457123111,Core i5,3,1000,128,4,Windows
590,Asus,2 in 1 Convertible,2.5,8,Intel,2.2,739.0,1,0,100.45466986113651,Core i5,3,1000,0,2,Windows
591,Lenovo,Notebook,3.6,12,AMD,2.2,949.0,0,0,141.21199808219862,A12-Series,1,0,512,2,Windows
592,Dell,2 in 1 Convertible,1.0,4,Intel,1.39,603.0,1,0,135.0942111925629,Core M,2,0,128,2,Windows
593,Samsung,Notebook,2.8,16,Nvidia,2.5,1699.0,0,0,141.21199808219862,Core i7,4,1000,128,3,Windows
594,Lenovo,Notebook,2.0,4,Intel,2.8,529.0,0,0,127.33567457123111,Core i3,2,500,0,2,Other
595,Lenovo,Notebook,2.3,8,Intel,2.29,459.0,0,0,100.45466986113651,Core i3,2,1000,0,2,Windows
596,Lenovo,2 in 1 Convertible,2.7,8,Intel,1.37,2025.0,1,1,165.6321180513006,Core i7,4,0,512,2,Windows
597,Lenovo,Notebook,2.5,8,Intel,1.7,1474.0,0,1,157.3505121487356,Core i5,3,0,256,2,Windows
598,Dell,2 in 1 Convertible,2.5,8,Intel,1.34,1670.0,1,0,176.23257360658386,Core i5,3,0,256,2,Windows
599,Dell,Workstation,2.8,8,Nvidia,2.06,1763.0,1,0,141.21199808219862,Core i7,4,0,256,2,Windows
600,HP,Notebook,2.7,8,Intel,1.84,1219.0,0,0,141.21199808219862,Core i7,4,0,256,2,Windows
601,HP,Notebook,2.4,4,Intel,2.1,668.48,0,0,100.45466986113651,Core i3,2,500,0,2,Windows
602,Acer,Notebook,1.1,4,Intel,1.6,329.0,0,0,157.3505121487356,Celeron,1,0,0,2,Windows
603,MSI,Gaming,2.7,16,Nvidia,4.14,2199.0,0,0,127.33567457123111,Core i7,4,1000,128,2,Windows
604,Dell,Notebook,2.0,4,AMD,2.18,465.0,0,0,100.45466986113651,Core i3,2,1000,0,2,Other
605,MSI,Gaming,2.8,16,Nvidia,1.8,2299.0,0,0,282.42399616439724,Core i7,4,2000,256,4,Windows
606,Toshiba,Notebook,2.5,8,Intel,2.2,1399.0,0,1,141.21199808219862,Core i7,4,0,256,2,Windows
607,Lenovo,Notebook,2.5,6,Intel,2.4,564.0,0,0,141.21199808219862,Core i5,3,1000,0,2,Windows
608,Lenovo,2 in 1 Convertible,2.8,8,Intel,2.0,1299.0,1,1,141.21199808219862,Core i7,4,0,256,2,Windows
609,Acer,Notebook,1.6,4,Intel,1.6,349.0,0,0,111.93520355955211,Pentium,1,0,0,2,Windows
610,Lenovo,Notebook,3.1,32,Nvidia,2.5,4899.0,0,1,282.42399616439724,Xeon,4,0,1000,2,Windows
611,Dell,Gaming,2.6,16,Nvidia,2.59,879.01,0,0,141.21199808219862,Core i7,4,1000,0,3,Windows
612,Dell,Notebook,2.0,4,Intel,2.18,443.9,0,0,100.45466986113651,Core i3,2,1000,0,2,Other
613,Dell,Notebook,2.0,4,Intel,2.25,359.0,0,0,100.45466986113651,Core i3,2,1000,0,2,Other
614,Dell,Notebook,2.6,4,Intel,1.93,869.0,0,0,100.45466986113651,Core i5,3,500,0,2,Other
615,Asus,Gaming,2.8,8,Nvidia,3.0,1168.0,0,0,127.33567457123111,Core i7,4,1000,128,3,Windows
616,Dell,Notebook,2.5,4,AMD,2.18,569.0,0,0,141.21199808219862,Core i5,3,0,128,2,Other
617,HP,Ultrabook,2.7,8,Intel,1.84,1389.0,0,0,141.21199808219862,Core i7,4,0,512,2,Windows
618,MSI,Gaming,2.8,16,Nvidia,2.94,2267.86,0,0,141.21199808219862,Core i7,4,1000,256,4,Windows
619,Acer,2 in 1 Convertible,1.6,4,Intel,1.25,379.0,1,1,135.0942111925629,Celeron,1,0,0,2,Other
620,HP,Notebook,2.6,8,Intel,2.31,1124.0,0,0,111.93520355955211,Core i5,3,0,256,2,Windows
621,Lenovo,Notebook,2.3,8,Intel,1.65,1465.0,0,0,157.3505121487356,Core i5,3,0,256,2,Windows
622,Dell,Notebook,1.6,4,AMD,2.2,776.0,0,0,141.21199808219862,Core i5,3,1000,0,2,Windows
623,Fujitsu,Notebook,2.5,8,Intel,2.2,799.0,0,0,100.45466986113651,Core i5,3,0,256,2,Windows
624,HP,Notebook,2.3,4,Intel,1.88,932.0,0,0,100.45466986113651,Core i5,3,500,0,2,Windows
625,Lenovo,Notebook,2.7,8,Nvidia,2.2,899.0,0,0,141.21199808219862,Core i7,4,1000,0,2,Windows
626,Mediacom,Notebook,1.44,2,Intel,1.4,239.0,0,0,157.3505121487356,Atom,1,0,0,2,Windows
627,Lenovo,Notebook,2.5,4,Intel,2.2,468.0,0,0,141.21199808219862,Core i5,3,0,128,2,Other
628,Asus,2 in 1 Convertible,2.5,6,Intel,1.5,639.01,1,0,165.6321180513006,Core i5,3,1000,0,2,Windows
629,Dell,Notebook,2.8,8,Nvidia,2.0,1820.0,0,0,141.21199808219862,Core i7,4,0,256,3,Windows
630,Asus,Ultrabook,2.7,16,Intel,1.1,1900.0,0,0,157.3505121487356,Core i7,4,0,512,2,Windows
631,Dell,Gaming,2.8,16,Nvidia,2.62,1479.0,0,0,141.21199808219862,Core i7,4,1000,256,3,Windows
632,Lenovo,Notebook,1.6,4,Intel,1.8,829.0,0,0,141.21199808219862,Core i5,3,0,256,2,Windows
633,Lenovo,Notebook,2.0,4,Nvidia,2.2,579.0,0,0,141.21199808219862,Core i3,2,1000,0,2,Windows
634,Asus,Notebook,1.1,8,Intel,2.0,399.0,0,0,100.45466986113651,Celeron,1,1000,0,2,Windows
635,Asus,Notebook,2.5,8,Nvidia,1.99,906.62,0,0,141.21199808219862,Core i5,3,1000,0,3,Windows
636,Dell,Ultrabook,1.6,8,Intel,1.23,1869.0,1,0,276.053530085501,Core i5,3,0,256,2,Windows
637,Lenovo,Notebook,1.6,2,Intel,1.42,249.0,0,0,111.93520355955211,Celeron,1,0,0,2,Windows
638,Lenovo,2 in 1 Convertible,2.7,8,Intel,1.37,1757.42,1,1,165.6321180513006,Core i7,4,0,256,2,Windows
639,Dell,Notebook,2.8,16,Nvidia,2.06,2399.0,1,0,282.42399616439724,Core i7,4,0,1000,3,Windows
640,Lenovo,Gaming,2.8,8,Nvidia,2.5,1109.0,0,1,141.21199808219862,Core i7,4,1000,128,3,Windows
641,HP,Notebook,3.0,8,AMD,2.6,520.9,0,0,107.98564559226952,A9-Series,1,1000,0,2,Windows
642,Lenovo,Ultrabook,2.7,16,Intel,1.14,2450.0,0,1,157.3505121487356,Core i7,4,0,512,2,Windows
643,Asus,Gaming,2.8,8,Nvidia,2.5,1169.0,0,1,141.21199808219862,Core i7,4,1000,0,3,Other
644,Acer,Notebook,2.0,4,Intel,2.4,450.0,0,0,100.45466986113651,Core i3,2,500,0,2,Windows
645,Lenovo,Notebook,1.6,4,Intel,1.43,274.0,0,0,111.93520355955211,Celeron,1,0,0,2,Windows
646,Acer,Ultrabook,2.5,8,Intel,1.8,919.0,0,1,157.3505121487356,Core i5,3,0,256,2,Windows
647,Razer,Gaming,2.8,16,Nvidia,1.95,2599.0,0,0,157.3505121487356,Core i7,4,0,256,4,Windows
648,Toshiba,Notebook,2.3,8,Intel,1.2,1213.0,0,0,165.6321180513006,Core i5,3,0,256,2,Windows
649,Lenovo,Ultrabook,2.7,8,Intel,1.36,1584.0,0,1,176.23257360658386,Core i7,4,0,256,2,Windows
650,Asus,Gaming,2.7,32,Nvidia,3.8,2799.0,0,1,127.33567457123111,Core i7,4,0,512,4,Windows
651,Acer,Gaming,2.5,8,Nvidia,2.4,709.0,0,0,141.21199808219862,Core i5,3,1000,0,3,Other
652,Dell,Ultrabook,1.6,8,Intel,1.2,1449.9,0,0,165.6321180513006,Core i5,3,0,256,2,Windows
653,MSI,Gaming,2.8,8,Nvidia,2.2,1191.8,0,0,141.21199808219862,Core i7,4,1000,128,3,Windows
654,HP,Notebook,2.0,4,Intel,1.86,364.9,0,0,100.45466986113651,Core i3,2,500,0,2,Other
655,Toshiba,Notebook,2.5,8,Intel,2.0,1064.0,0,1,141.21199808219862,Core i5,3,500,0,2,Windows
656,Dell,Notebook,1.8,8,AMD,2.2,919.0,0,0,141.21199808219862,Core i7,4,0,256,2,Windows
657,Dell,Notebook,1.8,16,AMD,2.2,1135.0,0,0,141.21199808219862,Core i7,4,2000,256,2,Windows
658,Lenovo,Gaming,2.6,8,Nvidia,3.31,1196.0,0,1,141.21199808219862,Core i7,4,1000,128,3,Windows
659,Dell,Gaming,2.8,32,Nvidia,4.42,3147.37,0,1,254.67134914246222,Core i7,4,1000,512,4,Windows
660,Dell,Notebook,2.4,8,Intel,1.56,1229.0,0,0,157.3505121487356,Core i5,3,0,256,2,Windows
661,Lenovo,Notebook,1.1,4,Intel,2.2,419.0,0,0,100.45466986113651,Celeron,1,500,0,2,Windows
662,Lenovo,Notebook,2.3,4,Intel,2.2,535.0,0,0,141.21199808219862,Core i5,3,500,0,2,Windows
663,HP,Notebook,2.0,6,AMD,2.04,539.0,0,0,141.21199808219862,Core i3,2,1000,0,2,Windows
664,MSI,Gaming,2.8,8,Nvidia,2.7,1486.77,0,0,127.33567457123111,Core i7,4,1000,128,4,Windows
665,Toshiba,Notebook,2.1,4,Intel,2.1,498.0,0,0,100.45466986113651,Core i3,2,0,128,2,Windows
666,Dell,Notebook,2.5,8,Intel,2.06,955.0,0,0,141.21199808219862,Core i5,3,1000,0,2,Windows
667,HP,Notebook,2.7,8,AMD,2.1,745.0,0,0,141.21199808219862,Core i7,4,1000,0,2,Windows
668,Toshiba,Notebook,2.5,8,Intel,2.0,1258.0,0,1,141.21199808219862,Core i5,3,0,256,2,Windows
669,Acer,Notebook,2.0,4,Intel,2.1,412.0,0,0,100.45466986113651,Core i3,2,0,128,2,Other
670,Microsoft,Ultrabook,2.8,8,Intel,1.252,1867.85,1,0,200.84255993695703,Core i7,4,0,256,2,Windows
671,Lenovo,Notebook,2.5,8,AMD,1.9,817.95,0,0,141.21199808219862,Core i5,3,1000,128,2,Windows
672,Lenovo,2 in 1 Convertible,2.5,8,Intel,1.3,1034.0,1,1,165.6321180513006,Core i5,3,0,256,2,Windows
673,Lenovo,Notebook,2.2,4,AMD,2.2,349.0,0,0,100.45466986113651,E-Series,1,0,128,2,Windows
674,HP,2 in 1 Convertible,2.4,4,Nvidia,1.63,699.0,1,1,157.3505121487356,Core i3,2,0,128,2,Windows
675,MSI,Gaming,2.8,16,Nvidia,2.4,1294.0,0,0,141.21199808219862,Core i7,4,1000,256,3,Windows
676,Asus,Ultrabook,2.5,8,Intel,1.1,1135.0,0,0,157.3505121487356,Core i5,3,0,256,2,Windows
677,HP,2 in 1 Convertible,1.1,8,Intel,1.4,495.0,1,0,135.0942111925629,Celeron,1,0,0,2,Other
678,LG,Ultrabook,1.8,8,Intel,1.09,2299.0,0,1,141.21199808219862,Core i7,4,0,512,2,Windows
679,Acer,Gaming,2.5,16,Nvidia,2.5,1299.0,0,0,141.21199808219862,Core i5,3,0,256,3,Windows
680,MSI,Gaming,2.5,8,Nvidia,2.2,997.9,0,0,141.21199808219862,Core i5,3,0,256,3,Windows
681,Asus,Notebook,1.1,4,Intel,1.86,419.0,0,0,100.45466986113651,Celeron,1,0,128,2,Windows
682,Dell,Gaming,2.5,16,Nvidia,3.21,2051.0,0,0,141.21199808219862,Core i5,3,1000,128,4,Windows
683,HP,Notebook,2.0,4,AMD,2.5,699.0,0,1,127.33567457123111,Core i3,2,0,256,2,Windows
684,Lenovo,2 in 1 Convertible,1.8,8,Intel,1.19,1499.0,1,1,165.6321180513006,Core i7,4,0,512,2,Windows
685,Dell,Gaming,2.9,16,Nvidia,3.49,2813.75,0,0,141.21199808219862,Core i7,4,1000,256,4,Windows
686,HP,Notebook,2.5,4,AMD,1.86,612.61,0,0,100.45466986113651,Core i5,3,500,0,2,Windows
687,Dell,Notebook,2.0,4,AMD,2.2,545.67,0,0,100.45466986113651,Core i3,2,1000,0,2,Windows
688,HP,Notebook,2.4,6,AMD,2.65,569.0,0,1,127.33567457123111,A10-Series,1,2000,0,2,Windows
689,Lenovo,Notebook,1.6,4,Intel,2.1,318.0,0,0,100.45466986113651,Celeron,1,500,0,2,Windows
690,Acer,Notebook,1.6,4,Intel,1.45,375.0,0,0,111.93520355955211,Celeron,1,0,0,2,Other
691,Lenovo,Notebook,2.5,4,Intel,1.7,699.0,0,0,157.3505121487356,Core i5,3,0,256,2,Windows
692,HP,Workstation,2.8,8,Nvidia,3.14,1907.99,0,0,127.33567457123111,Core i7,4,500,0,2,Windows
693,Lenovo,2 in 1 Convertible,2.7,8,Intel,1.42,2590.0,1,0,209.8006828649808,Core i7,4,0,256,2,Windows
694,Toshiba,Notebook,2.5,8,Intel,1.5,973.0,0,1,165.6321180513006,Core i5,3,0,256,2,Windows
695,Acer,Netbook,1.6,4,Intel,1.4,269.0,0,0,135.0942111925629,Celeron,1,0,0,2,Windows
696,Lenovo,2 in 1 Convertible,2.7,16,Intel,1.38,1749.0,1,0,157.3505121487356,Core i7,4,0,512,2,Windows
697,Asus,2 in 1 Convertible,0.9,4,Intel,1.2,669.0,1,0,176.23257360658386,Core M,2,0,0,2,Other
698,Toshiba,Ultrabook,2.5,16,Intel,1.36,1877.0,1,0,165.6321180513006,Core i7,4,0,512,2,Windows
699,HP,Notebook,2.7,4,AMD,2.1,689.0,0,1,141.21199808219862,Core i7,4,500,0,2,Windows
700,Dell,Gaming,2.5,8,Nvidia,2.56,819.0,0,0,141.21199808219862,Core i5,3,1000,0,3,Windows
701,Lenovo,Notebook,2.9,4,AMD,2.2,399.0,0,0,141.21199808219862,A9-Series,1,0,256,2,Windows
702,Lenovo,Notebook,3.6,8,AMD,2.2,429.0,0,0,100.45466986113651,A12-Series,1,1000,0,2,Windows
703,Lenovo,Notebook,2.5,4,Intel,2.1,621.45,0,0,141.21199808219862,Core i5,3,2000,0,2,Windows
704,Lenovo,Notebook,2.0,4,Intel,1.9,450.0,0,0,100.45466986113651,Core i3,2,500,0,2,Other
705,Dell,Notebook,2.5,8,Intel,2.18,795.0,0,0,141.21199808219862,Core i5,3,0,256,2,Windows
706,Acer,2 in 1 Convertible,1.6,8,Intel,1.6,999.0,1,1,165.6321180513006,Core i5,3,0,256,2,Windows
707,Lenovo,Workstation,2.5,16,Nvidia,2.18,1855.0,0,0,141.21199808219862,Core i7,4,0,512,2,Windows
708,Lenovo,Notebook,2.3,8,Intel,1.8,1191.0,0,0,157.3505121487356,Core i5,3,0,256,2,Windows
709,HP,Notebook,2.5,6,AMD,2.71,655.01,0,1,127.33567457123111,A10-Series,1,2000,0,2,Windows
