,Company,TypeName,CPU_Frequency (GHz),RAM (GB),GPU_Company,Weight (kg),Price (Euro),Touchscreen,Ips,ppi,CPU,CPU_Tier,HDD,SSD,GPU_Tier,OS
312,MSI,Gaming,2.8,16,Nvidia,2.8,2099.0,0,1,141.21199808219862,Core i7,4,1000,256,4,Windows
313,Acer,Notebook,2.2,8,AMD,2.23,469.0,0,0,141.21199808219862,A8-Series,1,0,256,2,Windows
314,Asus,2 in 1 Convertible,1.1,2,Intel,1.1,275.0,1,0,135.0942111925629,Celeron,1,0,0,2,Windows
315,Dell,Notebook,1.6,8,AMD,2.33,844.0,0,0,141.21199808219862,Core i5,3,1000,128,2,Windows
316,HP,2 in 1 Convertible,1.8,16,Intel,1.29,2449.0,1,1,331.2642361026012,Core i7,4,0,1000,2,Windows
317,Lenovo,Notebook,1.6,4,Intel,1.45,459.9,0,0,117.82653006268643,Celeron,1,0,0,2,Other
318,HP,Notebook,2.5,8,Intel,1.95,980.0,0,0,157.3505121487356,Core i5,3,0,256,2,Windows
319,Acer,Notebook,1.6,4,Intel,1.4,485.0,0,0,135.0942111925629,Pentium,1,0,0,2,Windows
320,HP,Notebook,2.7,8,Intel,1.48,1292.0,0,0,157.3505121487356,Core i7,4,0,256,2,Windows
321,Lenovo,Notebook,2.5,4,Nvidia,2.79,589.0,0,0,106.11306214269258,Core i5,3,1000,0,2,Windows
322,Asus,Notebook,2.7,8,Intel,2.0,1094.0,0,0,157.3505121487356,Core i7,4,0,256,2,Windows
323,HP,Notebook,1.8,8,Intel,2.1,902.0,0,1,100.45466986113651,Core i7,4,1000,0,2,Windows
324,Acer,Notebook,2.7,8,AMD,2.2,659.0,0,0,100.45466986113651,A12-Series,1,0,256,2,Windows
325,Lenovo,Notebook,1.1,4,Intel,1.44,292.0,0,0,111.93520355955211,Celeron,1,0,0,2,Windows
326,Acer,Notebook,2.5,6,Intel,2.23,549.0,0,0,100.45466986113651,Core i5,3,1000,0,2,Windows
327,Asus,Ultrabook,2.7,8,Nvidia,1.7,1049.9,0,0,141.21199808219862,Core i7,4,0,256,2,Windows
328,HP,Ultrabook,2.7,8,Intel,1.26,1335.0,0,0,176.23257360658386,Core i7,4,0,256,2,Windows
329,Dell,Notebook,2.8,32,Nvidia,2.06,2639.0,1,0,282.42399616439724,Core i7,4,0,1000,3,Windows
330,MSI,Gaming,2.8,8,Nvidia,2.7,1199.0,0,0,127.33567457123111,Core i7,4,1000,256,3,Windows
331,Toshiba,Notebook,2.5,8,Intel,2.0,943.0,0,1,141.21199808219862,Core i5,3,0,256,2,Windows
332,Asus,Notebook,2.7,8,Intel,2.0,1334.0,0,0,157.3505121487356,Core i7,4,1000,256,2,Windows
